tab 	locations														
age	age_high	age_low	age_unit	geologic_classes	lat_n	lat_s	lithologies	location	location_type	lon_e	lon_w				
1719	Ma	https://doi.org/10.1016/j.gr.2023.08.004	Sedimentary	Baked Rock		26.116	Limestone	Gwalior	78.083	LP-DIR-T	I222				
>>>>>>>>>>															
tab 	ages														
age	age_unit	citations	location	method_codes	sample	site	specimen								
1719	Ma	https://doi.org/10.1016/j.gr.2023.08.004	Gwalior	GM-PBPB		I1939									
>>>>>>>>>>															
tab 	measurements														
citations	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_volume	meas_temp	measurement	method_codes	sequence	specimen	treat_ac_field	treat_temp	quality
This study	2.7	156.8	-44.8	I1936-1A-LP-DIR-T	Molspin	1.49E-05	1.34958	273	I1936-1A-LP-DIR-T-1	LT-T-Z	2	I1936-1A	0	273	g
This study	3.6	159.3	-47.6	I1936-1A-LP-DIR-T	Molspin	1.43E-05	1.293601	273	I1936-1A-LP-DIR-T-2	LT-T-Z	3	I1936-1A	0	448	g
This study	3.4	158.8	-46.1	I1936-1A-LP-DIR-T	Molspin	1.43E-05	1.29668	273	I1936-1A-LP-DIR-T-3	LT-T-Z	4	I1936-1A	0	523	g
This study	3.8	149.1	-45.3	I1936-1A-LP-DIR-T	Molspin	1.33E-05	1.207175	273	I1936-1A-LP-DIR-T-4	LT-T-Z	5	I1936-1A	0	598	g
This study	1.4	152.6	-46.1	I1936-1A-LP-DIR-T	Molspin	1.20E-05	1.085751	273	I1936-1A-LP-DIR-T-5	LT-T-Z	6	I1936-1A	0	673	g
This study	1.7	151.3	-46.2	I1936-1A-LP-DIR-T	Molspin	1.18E-05	1.068613	273	I1936-1A-LP-DIR-T-6	LT-T-Z	7	I1936-1A	0	723	g
This study	1.8	147.4	-47.9	I1936-1A-LP-DIR-T	Molspin	1.16E-05	1.054448	273	I1936-1A-LP-DIR-T-7	LT-T-Z	8	I1936-1A	0	773	g
This study	1.5	151.7	-47.6	I1936-1A-LP-DIR-T	Molspin	1.08E-05	0.978493	273	I1936-1A-LP-DIR-T-8	LT-T-Z	9	I1936-1A	0	798	g
This study	2.2	147.6	-49.3	I1936-1A-LP-DIR-T	Molspin	1.00E-05	0.909144	273	I1936-1A-LP-DIR-T-9	LT-T-Z	1	I1936-1A	0	813	g
This study	1.7	152.1	-48.9	I1936-1A-LP-DIR-T	Molspin	1.89E-06	0.171397	273	I1936-1A-LP-DIR-T-10	LT-T-Z	11	I1936-1A	0	828	g
This study	1.4	158	-48.9	I1936-1A-LP-DIR-T	Molspin	1.27E-07	0.011482	273	I1936-1A-LP-DIR-T-11	LT-T-Z	12	I1936-1A	0	833	g
This study	1.9	185.6	-71.2	I1936-2A-LP-DIR-T	Molspin	1.83E-07	0.016585	273	I1936-2A-LP-DIR-T-1	LT-T-Z	2	I1936-2A	0	273	g
This study	2.1	193.6	-71.2	I1936-2A-LP-DIR-T	Molspin	1.80E-07	0.016334	273	I1936-2A-LP-DIR-T-2	LT-T-Z	3	I1936-2A	0	448	g
This study	2	196.6	-70.9	I1936-2A-LP-DIR-T	Molspin	1.81E-07	0.016401	273	I1936-2A-LP-DIR-T-3	LT-T-Z	4	I1936-2A	0	523	g
This study	1.2	206.8	-75.5	I1936-2A-LP-DIR-T	Molspin	1.55E-07	0.01407	273	I1936-2A-LP-DIR-T-4	LT-T-Z	5	I1936-2A	0	598	g
This study	0.8	202.7	-76.3	I1936-2A-LP-DIR-T	Molspin	1.34E-07	0.012129	273	I1936-2A-LP-DIR-T-5	LT-T-Z	6	I1936-2A	0	673	g
This study	2.2	201	-78	I1936-2A-LP-DIR-T	Molspin	1.29E-07	0.011674	273	I1936-2A-LP-DIR-T-6	LT-T-Z	7	I1936-2A	0	723	g
This study	1.9	188.8	-83.8	I1936-2A-LP-DIR-T	Molspin	1.17E-07	0.010579	273	I1936-2A-LP-DIR-T-7	LT-T-Z	8	I1936-2A	0	773	g
This study	3	191.3	-81.3	I1936-2A-LP-DIR-T	Molspin	4.79E-08	0.004341	273	I1936-2A-LP-DIR-T-8	LT-T-Z	9	I1936-2A	0	798	g
This study	3.9	197	-73.1	I1936-2A-LP-DIR-T	Molspin	3.99E-08	0.003614	273	I1936-2A-LP-DIR-T-9	LT-T-Z	1	I1936-2A	0	813	g
This study	4.4	207.5	-75.1	I1936-2A-LP-DIR-T	Molspin	3.38E-08	0.003058	273	I1936-2A-LP-DIR-T-10	LT-T-Z	11	I1936-2A	0	828	g
This study	5.6	359.3	-20.5	I1936-2A-LP-DIR-T	Molspin	4.64E-09	0.00042	273	I1936-2A-LP-DIR-T-11	LT-T-Z	12	I1936-2A	0	833	g
This study	1.8	98.6	-32.8	I1936-3a-LP-DIR-T	Molspin	1.82E-05	1.6122831	273	I1936-3a-LP-DIR-T-1	LT-T-Z	2	I1936-3a	0	273	g
This study	0.7	92	-35.5	I1936-3a-LP-DIR-T	Molspin	1.76E-05	1.5566675	273	I1936-3a-LP-DIR-T-2	LT-T-Z	3	I1936-3a	0	448	g
This study	1.7	93.5	-36.7	I1936-3a-LP-DIR-T	Molspin	1.71E-05	1.5163041	273	I1936-3a-LP-DIR-T-3	LT-T-Z	4	I1936-3a	0	523	g
This study	2.3	96.6	-37.7	I1936-3a-LP-DIR-T	Molspin	1.45E-05	1.2875012	273	I1936-3a-LP-DIR-T-4	LT-T-Z	5	I1936-3a	0	598	g
This study	1.2	95.6	-36.2	I1936-3a-LP-DIR-T	Molspin	1.39E-05	1.2279506	273	I1936-3a-LP-DIR-T-5	LT-T-Z	6	I1936-3a	0	673	g
This study	2.1	94.8	-36.4	I1936-3a-LP-DIR-T	Molspin	1.31E-05	1.1572592	273	I1936-3a-LP-DIR-T-6	LT-T-Z	7	I1936-3a	0	723	g
This study	2.1	92.7	-35.7	I1936-3a-LP-DIR-T	Molspin	1.29E-05	1.1423199	273	I1936-3a-LP-DIR-T-7	LT-T-Z	8	I1936-3a	0	773	g
This study	5.4	91.6	-37.2	I1936-3a-LP-DIR-T	Molspin	1.15E-05	1.0169119	273	I1936-3a-LP-DIR-T-8	LT-T-Z	9	I1936-3a	0	798	g
This study	3.7	89.1	-37	I1936-3a-LP-DIR-T	Molspin	1.08E-05	0.9563612	273	I1936-3a-LP-DIR-T-9	LT-T-Z	1	I1936-3a	0	813	g
This study	3.5	332.4	-26.4	I1936-3a-LP-DIR-T	Molspin	1.37E-07	0.0121185	273	I1936-3a-LP-DIR-T-10	LT-T-Z	11	I1936-3a	0	828	g
This study	12.9	169.7	-47	I1936-4A-LP-DIR-T	Molspin	3.89E-07	0.035193	273	I1936-4A-LP-DIR-T-1	LT-T-Z	2	I1936-4A	0	273	g
This study	12.8	172.7	-49	I1936-4A-LP-DIR-T	Molspin	3.87E-07	0.035084	273	I1936-4A-LP-DIR-T-2	LT-T-Z	3	I1936-4A	0	448	g
This study	13.8	173.1	-43.8	I1936-4A-LP-DIR-T	Molspin	3.86E-07	0.03497	273	I1936-4A-LP-DIR-T-3	LT-T-Z	4	I1936-4A	0	523	g
This study	12	164.8	-44.7	I1936-4A-LP-DIR-T	Molspin	3.54E-07	0.032062	273	I1936-4A-LP-DIR-T-4	LT-T-Z	5	I1936-4A	0	598	g
This study	10.5	163.8	-46.1	I1936-4A-LP-DIR-T	Molspin	2.68E-07	0.024254	273	I1936-4A-LP-DIR-T-5	LT-T-Z	6	I1936-4A	0	673	g
This study	12.1	163.2	-48.5	I1936-4A-LP-DIR-T	Molspin	2.58E-07	0.023353	273	I1936-4A-LP-DIR-T-6	LT-T-Z	7	I1936-4A	0	723	g
This study	14.7	154	-48.2	I1936-4A-LP-DIR-T	Molspin	2.36E-07	0.021412	273	I1936-4A-LP-DIR-T-7	LT-T-Z	8	I1936-4A	0	773	g
